,qubit_freq,rabi_freq,anharmonicity,N_levles,p_drag,ramp_length_ns,sample_rate,detuning_scan,max_pop_up,max_pop_down
34,4428.64,70.0,200.0,10,-16,200,2000,132.71626108022187,1.4884591035818566e-14,3.0695345480123475e-14
35,4428.64,70.0,200.0,10,-16,200,2000,136.4348809558996,5.0251958183842956e-14,2.8092779650336178e-14
36,4428.64,70.0,200.0,10,-16,200,2000,140.1535008315773,3.419435555131705e-14,2.348020804025343e-14
37,4428.64,70.0,200.0,10,-16,200,2000,143.872120707255,1.3430805824924531e-14,1.227277421951643e-14
38,4428.64,70.0,200.0,10,-16,200,2000,147.5907405829327,1.2122668076642217e-14,4.964697312980275e-14
39,4428.64,70.0,200.0,10,-16,200,2000,151.30936045861043,6.739020170414185e-14,2.5185514882861527e-14
40,4428.64,70.0,200.0,10,-16,200,2000,155.02798033428815,3.799327717410046e-14,1.4728466418331675e-14
41,4428.64,70.0,200.0,10,-16,200,2000,158.74660020996586,2.1353376006531314e-14,1.1113481309611655e-14
42,4428.64,70.0,200.0,10,-16,200,2000,162.46522008564358,3.480429735292052e-14,1.5791382951389254e-14
43,4428.64,70.0,200.0,10,-16,200,2000,166.1838399613213,1.6189959499409026e-14,1.4054012055436996e-14
44,4428.64,70.0,200.0,10,-16,200,2000,169.90245983699901,9.114237300951121e-15,2.6217574347932813e-14
45,4428.64,70.0,200.0,10,-16,200,2000,173.62107971267673,1.1473574043880731e-14,1.3948065952233673e-14
46,4428.64,70.0,200.0,10,-16,200,2000,177.33969958835445,1.2435336323776308e-14,1.4147991690529832e-14
47,4428.64,70.0,200.0,10,-16,200,2000,181.05831946403217,2.6165749802354727e-14,1.4714682559042024e-14
48,4428.64,70.0,200.0,10,-16,200,2000,184.77693933970988,6.012188905982558e-14,1.2990980226763856e-14
49,4428.64,70.0,200.0,10,-16,200,2000,188.49555921538757,2.5826263019695035e-14,2.465799890465137e-14
