,time [ns],amplitude [MHZ]
162,81.0,(7.55369990467456-8.350006901323507j)
163,81.5,(7.679431303804542-8.419987911945713j)
164,82.0,(7.8152594723531355-8.497198895781054j)
165,82.5,(7.965658489716564-8.576271489876888j)
166,83.0,(8.130952614609535-8.650060562263462j)
167,83.5,(8.307127239337905-8.712803358023644j)
168,84.0,(8.48774060855117-8.762296784874177j)
169,84.5,(8.666281670930708-8.80055852103845j)
170,85.0,(8.838746021373066-8.83337656441283j)
171,85.5,(9.005758196432488-8.867949761943809j)
172,86.0,(9.172339357770651-8.909565518193048j)
173,86.5,(9.34579524083641-8.959561460115944j)
174,87.0,(9.533180343557392-9.014651175314015j)
175,87.5,(9.738356783297242-9.06767413281598j)
176,88.0,(9.960031665850671-9.110562414931916j)
177,88.5,(10.192534216778016-9.137754952197042j)
178,89.0,(10.428142669996154-9.148038225688529j)
179,89.5,(10.65983116757683-9.145147180726152j)
180,90.0,(10.884457677712232-9.136596125256311j)
181,90.5,(11.104410817816383-9.130215013401665j)
182,91.0,(11.326382339036039-9.130762866889457j)
183,91.5,(11.55886234821248-9.138170539081448j)
184,92.0,(11.809011439226856-9.147044989877081j)
185,92.5,(12.079270111518976-9.148472183131982j)
186,93.0,(12.366230540929433-9.133965254921677j)
187,93.5,(12.66234077180469-9.098698312987299j)
188,94.0,(12.958580424816061-9.043133015732215j)
189,94.5,(13.24793605365067-8.973293290340504j)
190,95.0,(13.528797864232173-8.898317197635636j)
191,95.5,(13.805520269792032-8.826217371640972j)
192,96.0,(14.086366268567613-8.760822417594426j)
193,96.5,(14.380582593159987-8.700213699757523j)
194,97.0,(14.694506797592203-8.636851993214801j)
195,97.5,(15.028374021458292-8.560780122626817j)
196,98.0,(15.376447982042398-8.463995463000382j)
197,98.5,(15.72936697216637-8.343241166882157j)
198,99.0,(16.07729783891123-8.201459930550202j)
199,99.5,(16.414119770936953-8.047180749677702j)
200,100.0,(16.740235220733023-7.890698041633976j)
201,100.5,(17.061826916932088-7.739753232375263j)
202,101.0,(17.388305631347055-7.596967756202092j)
203,101.5,(17.728835562235272-7.458550925743379j)
204,102.0,(18.08797394463308-7.315585784473552j)
205,102.5,(18.463478485239612-7.158380948874546j)
206,103.0,(18.847637711038832-6.980538275749703j)
207,103.5,(19.229939842700905-6.781265244732377j)
208,104.0,(19.600819231443946-6.566451144636988j)
209,104.5,(19.956004797403217-6.346720671870517j)
210,105.0,(20.298029826975064-6.132788000133747j)
211,105.5,(20.634486298534124-5.93174340184803j)
212,106.0,(20.97527192818886-5.744937867113663j)
213,106.5,(21.328574972803853-5.567238783404379j)
214,107.0,(21.69677663326198-5.389670955762227j)
215,107.5,(22.075735551534105-5.204105185302159j)
216,108.0,(22.456803577307852-5.006474348469449j)
217,108.5,(22.829583777171386-4.798690768270252j)
218,109.0,(23.18611307449931-4.589004272691986j)
219,109.5,(23.524535696251043-4.388790903353065j)
220,110.0,(23.84911442043709-4.208049246994276j)
221,110.5,(24.16814344051929-4.052648009829901j)
222,111.0,(24.491190999046335-3.922535399291985j)
223,111.5,(24.82485197673595-3.811816067744482j)
224,112.0,(25.16970495284025-3.712346810530104j)
225,112.5,(25.520913307129018-3.6177495836456983j)
226,113.0,(25.8701754923738-3.5256455911359668j)
227,113.5,(26.208414129469997-3.4393192257820293j)
228,114.0,(26.529948993854184-3.3671872253987103j)
229,114.5,(26.834834640564253-3.319010267725433j)
230,115.0,(27.127879491177204-3.302484764808205j)
231,115.5,(27.41700359633402-3.3213358689950705j)
232,116.0,(27.71059624000054-3.3736581078695775j)
233,116.5,(28.013534219996238-3.452824738763966j)
234,117.0,(28.325599262766293-3.551142672954952j)
235,117.5,(28.64256184900541-3.662440884154999j)
236,118.0,(28.957328605511535-3.7837522996256188j)
237,118.5,(29.262543731370553-3.9169997212755345j)
238,119.0,(29.554285110314428-4.067752844352593j)
239,119.5,(29.832992783892774-4.241940700179096j)
240,120.0,(30.102662553666764-4.444020986409093j)
241,120.5,(30.3702680083197-4.675179825798645j)
242,121.0,(30.643094448486103-4.931534651528354j)
243,121.5,(30.925436643112935-5.205607221504452j)
244,122.0,(31.218173530047224-5.48894273255387j)
245,122.5,(31.518923356239597-5.7733000835763315j)
246,123.0,(31.822111297909114-6.052897827913506j)
247,123.5,(32.121822477090554-6.326327490890425j)
248,124.0,(32.41465088364994-6.595031762298824j)
249,124.5,(32.69998937603427-6.861602553008369j)
250,125.0,(32.98085903425078-7.128877021669862j)
251,125.5,(33.26405774545029-7.396992340326145j)
252,126.0,(33.556995112091975-7.661570682325016j)
253,126.5,(33.865326677330806-7.915191884508933j)
254,127.0,(34.192339287733176-8.148223722097018j)
255,127.5,(34.536996974862966-8.350069263289832j)
256,128.0,(34.89391943418381-8.513025546855872j)
257,128.5,(35.25675318711322-8.633997776680403j)
258,129.0,(35.62007388108749-8.713511309103199j)
259,129.5,(35.98073707292622-8.755698349446977j)
260,130.0,(36.340632977181606-8.766332723897062j)
261,130.5,(36.7060466662419-8.74844451808448j)
262,131.0,(37.084137181772654-8.701075620270625j)
263,131.5,(37.481233358766566-8.6198482603651j)
264,132.0,(37.90045288058535-8.496815041675058j)
265,132.5,(38.33858666591662-8.323608885861422j)
266,133.0,(38.787505932504054-8.096176671103265j)
267,133.5,(39.23758923230441-7.815806075907052j)
268,134.0,(39.67952141665253-7.489200753168557j)
269,134.5,(40.10762619752479-7.128444903225832j)
270,135.0,(40.52276845231326-6.746911577945599j)
271,135.5,(40.93028301695293-6.354789813425192j)
272,136.0,(41.33690390416845-5.958333745526051j)
273,136.5,(41.74889257847422-5.55936092467056j)
274,137.0,(42.16832197698205-5.155691720262325j)
275,137.5,(42.59087764565768-4.745627293047504j)
276,138.0,(43.008443019912455-4.331727081825738j)
277,138.5,(43.411923917566696-3.921171386003561j)
278,139.0,(43.79333449896749-3.526128390400934j)
279,139.5,(44.14953566848321-3.162558442624463j)
280,140.0,(44.48374372478528-2.8454675628476895j)
281,140.5,(44.80286476860598-2.5855487976862563j)
282,141.0,(45.115150087455675-2.3887105029128426j)
283,141.5,(45.42825782046255-2.2553053238571565j)
284,142.0,(45.74575063502146-2.1810859324472545j)
285,142.5,(46.06597334575716-2.1612829988939364j)
286,143.0,(46.3845058443834-2.1929876319469885j)
287,143.5,(46.695795858355474-2.2751573278163697j)
288,144.0,(46.99457532636474-2.4094530803032246j)
289,144.5,(47.279072036820736-2.599430538837562j)
290,145.0,(47.5518571151287-2.8468916274612233j)
291,145.5,(47.817760245792314-3.1502934730127827j)
292,146.0,(48.08333816439416-3.504789977525325j)
293,146.5,(48.35586519906983-3.9005985241159227j)
294,147.0,(48.63988271183068-4.323560592995539j)
295,147.5,(48.93651809329331-4.758596849488406j)
296,148.0,(49.24493269313456-5.19064419249906j)
297,148.5,(49.56148769649093-5.605370686959196j)
298,149.0,(49.88084905792951-5.992359899260763j)
299,149.5,(50.19984261694906-6.344977194442563j)
300,150.0,(50.51785806734028-6.657880912350745j)
301,150.5,(50.83656758300582-6.927306504137874j)
302,151.0,(51.16182248869066-7.149457271148936j)
303,151.5,(51.501422998194535-7.316769544435422j)
304,152.0,(51.860794290164506-7.4190545253341735j)
305,152.5,(52.242632270372006-7.445813117589761j)
306,153.0,(52.64557271368887-7.386273267829418j)
307,153.5,(53.061906386658364-7.233172165195394j)
308,154.0,(53.48101364343166-6.987116251834485j)
309,154.5,(53.89345410559984-6.655317288694283j)
310,155.0,(54.29157308011583-6.25038424840247j)
311,155.5,(54.67221052707489-5.789851989153567j)
312,156.0,(55.03842023747071-5.29115093180575j)
313,156.5,(55.395316579152784-4.767862622142774j)
314,157.0,(55.746866380920935-4.231086403300786j)
315,157.5,(56.095295614655015-3.6897717640632193j)
316,158.0,(56.43836552098678-3.151366204399555j)
317,158.5,(56.76888845816308-2.626256902826857j)
318,159.0,(57.07905274551387-2.1297492481448455j)
319,159.5,(57.36315135877905-1.6798919618648296j)
320,160.0,(57.61843182706806-1.2962828229823418j)
321,160.5,(57.847400306139285-0.998099885088057j)
